Title,Year,Duration,Genre,Certificate,Ratings,Votes
All Creatures Great and Small,(2020– ),None,"
Comedy, Drama            ",None,8.4,"6,123"
The Andy Griffith Show,(1960–1968),30 min,"
Comedy, Family            ",None,8.3,"13,592"
The Lost Boys,(1987),97 min,"
Comedy, Horror            ",None,7.3,"133,314"
WandaVision,(2021),350 min,"
Action, Comedy, Drama            ",None,8.0,"238,002"
Thor: Ragnarok,(2017),130 min,"
Action, Adventure, Comedy            ",PG-13,7.9,"653,117"
A Million Little Things,(2018– ),43 min,"
Comedy, Drama, Romance            ",None,7.9,"11,067"
American Psycho,(2000),101 min,"
Comedy, Crime, Drama            ",R,7.6,"530,638"
Saturday Night Live,(1975– ),90 min,"
Comedy, Music            ",None,8.0,"45,880"
Fleabag,(2016–2019),27 min,"
Comedy, Drama            ",None,8.7,"124,234"
Guilty Party,(2021– ),30 min,"
Comedy, Crime, Mystery            ",None,5.3,269
Psych,(2006–2014),44 min,"
Comedy, Crime, Mystery            ",None,8.3,"90,475"
Good Witch,(2015–2021),48 min,"
Comedy, Drama, Fantasy            ",None,7.3,"9,328"
Back to the Future,(1985),116 min,"
Adventure, Comedy, Sci-Fi            ",None,8.5,"1,119,601"
Shazam!,(2019),132 min,"
Action, Adventure, Comedy            ",PG-13,7.0,"298,328"
Halloweentown,(1998 TV Movie),84 min,"
Adventure, Comedy, Family            ",None,6.7,"16,273"
The Goldbergs,(2013– ),22 min,"
Comedy            ",None,8.0,"34,492"
BoJack Horseman,(2014–2020),25 min,"
Animation, Comedy, Drama            ",None,8.7,"130,690"
Casper,(1995),100 min,"
Comedy, Family, Fantasy            ",PG,6.1,"128,332"
Tusk,(I) (2014),102 min,"
Comedy, Drama, Horror            ",R,5.3,"49,715"
Death in Paradise,(2011– ),60 min,"
Comedy, Crime, Drama            ",None,7.8,"17,072"
The Grand Budapest Hotel,(2014),99 min,"
Adventure, Comedy, Crime            ",R,8.1,"750,510"
Scrubs,(2001–2010),22 min,"
Comedy, Drama            ",None,8.3,"245,266"
Boku no hîrô akademia,(2016– ),24 min,"
Animation, Action, Adventure            ",None,8.4,"48,760"
30 Rock,(2006–2013),22 min,"
Comedy            ",None,8.2,"117,305"
Kaubôi bibappu,(1998–1999),24 min,"
Animation, Action, Adventure            ",None,8.9,"99,526"
Sabrina the Teenage Witch,(1996–2003),22 min,"
Comedy, Family, Fantasy            ",None,6.7,"36,782"
Frasier,(1993–2004),22 min,"
Comedy            ",None,8.1,"78,568"
Bull,(2016– ),60 min,"
Comedy, Crime, Drama            ",None,7.0,"16,839"
Love & Other Drugs,(2010),112 min,"
Comedy, Drama, Romance            ",R,6.7,"191,731"
