Title,Year,Duration,Genre,Certificate,Ratings,Votes
From the Hip,(1987),111 min,"
Comedy, Crime, Drama            ",None,6.2,"2,354"
Dumb and Dumber,(1995–1996),21 min,"
Animation, Adventure, Comedy            ",None,5.5,780
Princess,(2008 TV Movie),88 min,"
Comedy, Family, Fantasy            ",None,5.4,"1,776"
Rachel and the Stranger,(1948),93 min,"
Adventure, Comedy, Romance            ",None,7.0,"2,202"
Arjun Patiala,(2019),107 min,"
Action, Comedy            ",None,4.3,"1,329"
Lego Harry Potter and the Philosopher's Stone,(2020–2021),None,"
Animation, Adventure, Comedy            ",None,None,None
Les saveurs du Palais,(2012),95 min,"
Biography, Comedy            ",PG-13,6.4,"6,228"
Are You Being Served?,(1977),95 min,"
Action, Adventure, Comedy            ",None,6.3,"2,625"
The Claus Family 2,(2021),97 min,"
Comedy, Family, Fantasy            ",None,None,None
Gags The Clown,(2018),89 min,"
Comedy, Horror            ",None,4.7,559
Monica O My Darling,,None,"
Comedy, Crime, Drama            ",None,None,None
Virgin Territory,(2016),15 min,"
Short, Comedy, Drama            ",None,6.9,24
Pepper Dennis,(2006),60 min,"
Comedy, Drama            ",None,6.8,912
Yao,(2018),103 min,"
Comedy, Drama            ",None,6.4,900
Song for Marion,(2012),90 min,"
Comedy, Drama, Music            ",PG-13,7.0,"7,561"
Tooken,(I) (2015),80 min,"
Action, Comedy            ",R,3.7,"1,656"
Strangeways Here We Come,(2018),86 min,"
Comedy, Crime            ",None,4.8,170
Bokura no nanoka-kan sensô,(2019),88 min,"
Animation, Action, Comedy            ",None,6.2,334
Singh Is Kinng,(2008),135 min,"
Action, Comedy, Crime            ",None,5.7,"14,940"
Monsieur Ibrahim et les fleurs du Coran,(2003),96 min,"
Comedy, Drama            ",R,7.3,"11,037"
Baar Baar Dekho,(2016),141 min,"
Action, Comedy, Drama            ",None,5.3,"6,791"
I Just Want My Pants Back,(2012– ),30 min,"
Comedy, Drama            ",None,6.6,980
Mafia Mama,,None,"
Comedy            ",None,None,None
Wings of Fame,(1990),109 min,"
Comedy, Drama, Fantasy            ",None,7.0,874
Bobby,(1973),168 min,"
Comedy, Musical, Romance            ",None,7.1,"1,833"
The Bystanders,(2021 Podcast Series),None,"
Comedy, Crime            ",None,7.3,7
A Muppet Family Christmas,(1987 TV Movie),47 min,"
Comedy, Family, Musical            ",None,8.1,"3,720"
Mustang Island,(2017),86 min,"
Comedy            ",None,6.2,484
Lupin III,(2015),22 min,"
Animation, Action, Adventure            ",None,7.8,479
Bare Essentials,(1991 TV Movie),94 min,"
Comedy, Romance            ",None,4.9,221
Hacivat Karagöz Neden Öldürüldü?,(2006),135 min,"
Comedy, Drama, History            ",None,7.5,"12,038"
Tottoko Hamutaro,(2000–2006),30 min,"
Animation, Adventure, Comedy            ",None,6.4,"2,131"
È pericoloso sporgersi,(1993),104 min,"
Comedy, Drama            ",None,7.9,911
"Life, Animated",(2016),92 min,"
Documentary, Comedy, Drama            ",PG,7.5,"5,859"
My Mum Tracy Beaker,(2021– ),28 min,"
Comedy, Drama, Family            ",None,6.0,174
Tangled,(2021),None,"
Comedy            ",None,None,None
Ishq Vishk,(2003),134 min,"
Comedy, Romance            ",None,6.0,"4,060"
Vanya and Sonia and Masha and Spike,(2021 Video),None,"
Comedy            ",None,7.8,5
If I Were You,(2012),115 min,"
Comedy, Drama            ",R,7.0,"2,102"
"Hey, Class President!",(2009–2010),30 min,"
Animation, Comedy, Romance            ",None,6.2,139
Uttama Villain,(2015),171 min,"
Comedy, Drama            ",None,7.3,"3,001"
3 idiotas,(2017),106 min,"
Comedy            ",PG-13,4.3,964
Prince Charming,(2001 TV Movie),87 min,"
Adventure, Comedy, Family            ",None,6.1,"2,350"
Mrs. Palfrey at the Claremont,(2005),108 min,"
Comedy, Drama            ",None,7.6,"3,315"
Love at the Shore,(2017 TV Movie),84 min,"
Comedy, Family, Romance            ",None,6.4,"1,484"
My Thoughts Are Silent,(2019),104 min,"
Comedy, Drama            ",None,8.0,"2,143"
Pretty Cool,(2002),92 min,"
Comedy, Sci-Fi            ",R,4.2,486
Never the Twain,(1981–1991),30 min,"
Comedy            ",None,6.6,396
Wah-Wah,(2005),120 min,"
Comedy, Drama            ",R,6.8,"3,100"
Africa Screams,(1949),79 min,"
Action, Adventure, Comedy            ",None,6.2,"3,705"
Hellfjord,(2012– ),210 min,"
Comedy            ",None,7.2,"1,119"
Killer,(I) (2016),20 min,"
Short, Comedy, Drama            ",None,7.1,303
Lady for a Day,(1933),96 min,"
Comedy, Drama            ",None,7.4,"4,022"
Not Left in Vegas,(2020),119 min,"
Comedy            ",None,6.4,9
Unicorn: Warriors Eternal,(2022– ),None,"
Animation, Action, Adventure            ",None,None,None
Attack of the Southern Fried Zombies,(2017),83 min,"
Action, Comedy, Horror            ",None,4.2,586
Fasshon heru,(2010 Video),75 min,"
Comedy, Horror            ",None,4.3,458
Wilder Napalm,(1993),109 min,"
Comedy, Fantasy            ",PG-13,5.6,"1,658"
Rolling Thunder,(1996 TV Movie),86 min,"
Action, Comedy            ",None,4.2,152
"Honk for Jesus, Save Your Soul",,None,"
Comedy            ",None,None,None
LolliLove,(2004),64 min,"
Comedy            ",None,6.2,"1,440"
James,(V),None,"
Action, Comedy, Drama            ",None,None,None
Long Gone Gulch,(2021– ),None,"
Animation, Action, Adventure            ",None,8.1,142
Yilan Hikayesi,(1999–2002),55 min,"
Action, Adventure, Comedy            ",None,6.6,"3,009"
Les sous-doués,(1980),92 min,"
Comedy            ",None,6.5,"3,501"
The Curiosity of Chance,(2006),98 min,"
Comedy            ",None,6.7,"2,982"
Dancin' Thru the Dark,(1990),91 min,"
Comedy            ",None,7.0,349
Vesnicko má stredisková,(1985),98 min,"
Comedy            ",None,8.0,"4,288"
Master Devil Do Not Kiss Me,(2017–2019),20 min,"
Comedy, Romance            ",None,6.1,105
Cute Little Buggers,(2017),108 min,"
Comedy, Horror, Sci-Fi            ",None,3.3,374
Soldier in the Rain,(1963),88 min,"
Comedy, Drama, Romance            ",None,6.8,"1,706"
Touch Chesi Chudu,(2018),147 min,"
Action, Comedy, Crime            ",None,4.8,958
Reality,(II) (2012),116 min,"
Comedy, Drama            ",R,6.8,"5,341"
El Hormiguero: Vacaciones en el Titanic,(2019),9 min,"
Short, Comedy            ",None,4.5,74
Pretty Polly,(1967),102 min,"
Romance, Comedy, Drama            ",None,6.5,186
Purple Violets,(2007),103 min,"
Comedy, Drama, Romance            ",None,6.4,"3,221"
Mickey and the Beanstalk,(1947),29 min,"
Animation, Short, Adventure            ",G,7.6,"3,619"
Pushpaka Vimana,(1987),125 min,"
Comedy, Drama            ",None,8.6,"3,389"
A Family Thing,(1996),109 min,"
Comedy, Drama            ",PG-13,7.0,"3,563"
Sword Art Online Abridged,(2013– ),None,"
Animation, Action, Comedy            ",None,7.9,871
Intimate Games,(1976),90 min,"
Comedy, Romance            ",R,4.9,232
Three Sisters,(2001–2002),30 min,"
Comedy            ",None,6.4,184
Nothing,(2003),90 min,"
Comedy, Fantasy            ",R,6.2,"5,911"
Littlest Pet Shop: A World of Our Own,(2017– ),11 min,"
Animation, Comedy, Fantasy            ",None,6.8,91
Paperback Hero,(1999),96 min,"
Comedy, Romance            ",None,6.5,"2,165"
The Dramatics: A Comedy,(2015),89 min,"
Comedy, Romance            ",None,4.7,514
The Land Before Time X: The Great Longneck Migration,(2003 Video),84 min,"
Animation, Adventure, Comedy            ",G,6.1,"2,519"
C.I.D. Moosa,(2003),160 min,"
Action, Comedy            ",None,7.7,"1,542"
The Spoils Before Dying,(2015),None,"
Comedy, Crime, Music            ",None,6.5,952
Felix,(2021– ),None,"
Comedy            ",None,5.2,22
Hero,(II) (2021),125 min,"
Action, Comedy            ",None,6.7,605
Presença de Anita,(2001),None,"
Drama, Comedy, Mystery            ",None,7.9,422
Rocko's Modern Life: Static Cling,(2019 TV Short),45 min,"
Animation, Short, Action            ",None,7.0,"3,723"
Croc,(2007 TV Movie),100 min,"
Action, Adventure, Comedy            ",None,3.7,"1,517"
Bert,(2021– ),None,"
Comedy, Drama            ",None,7.0,73
The Trial,(2017),None,"
Comedy, Crime            ",None,9.0,657
Mister8,(2021),None,"
Comedy, Drama, Romance            ",None,7.3,64
Moonrunners,(1975),110 min,"
Action, Comedy            ",None,6.2,329
Marvel Avengers Academy,(2016 Video Game),None,"
Action, Adventure, Comedy            ",None,6.5,220
Fröken Frimans krig,(2013–2017),58 min,"
Comedy, Drama            ",None,7.8,"1,103"
Stepping Out,(1991),106 min,"
Comedy, Drama, Musical            ",None,6.4,"1,117"
Bang Boom Bang - Ein todsicheres Ding,(1999),110 min,"
Action, Comedy, Crime            ",None,7.6,"10,043"
Quack Pack,(1996–1997),30 min,"
Animation, Adventure, Comedy            ",None,6.7,"4,024"
Turma da Mônica: Laços,(2019),97 min,"
Adventure, Comedy, Family            ",None,7.2,"1,775"
The 75th Annual Golden Globe Awards 2018,(2018 TV Special),None,"
Comedy, News            ",None,5.4,589
Lonesome Jim,(2005),95 min,"
Comedy, Drama            ",R,6.6,"7,819"
Clase 406,(2002–2003),45 min,"
Comedy, Crime, Drama            ",None,7.1,550
Scoundrels,(2010– ),60 min,"
Comedy, Drama            ",None,6.4,753
Re loca,(2018),94 min,"
Comedy            ",None,6.1,930
ABCs of Death 2.5,(2016),85 min,"
Comedy, Horror            ",None,4.7,779
Tissit,(2014),17 min,"
Short, Comedy, Drama            ",None,5.6,245
Howard Stern,(1994–2005),60 min,"
Comedy, Talk-Show            ",None,6.2,"1,041"
Cunk on Britain,(2016–2018),30 min,"
Comedy, History            ",None,8.2,994
Erotas me diafora,(2021– ),None,"
Comedy, Romance            ",None,7.4,40
"You, Me & Them",(2013– ),None,"
Comedy            ",None,7.4,263
Boo to You Too! Winnie the Pooh,(1996 TV Short),21 min,"
Animation, Short, Comedy            ",None,7.5,869
Maud & Babs,(2021– ),None,"
Comedy, Drama            ",None,7.6,38
Rich and Strange,(1931),110 min,"
Comedy, Drama, Romance            ",None,5.8,"4,210"
The McCarthys,(2014–2015),21 min,"
Comedy            ",None,6.4,"1,616"
Electri-vacation,(2020 Video),1 min,"
Short, Comedy            ",None,7.5,42
Miss Guided,(2008),None,"
Comedy            ",None,7.6,"1,061"
The McCurdys,(2017 TV Movie),22 min,"
Comedy            ",None,6.1,27
Surrender,(I) (1987),105 min,"
Comedy            ",PG,5.4,952
Kazara Ask,(2021– ),None,"
Comedy, Romance            ",None,5.0,212
Kukhnya,(2012–2016),25 min,"
Adventure, Comedy, Drama            ",None,8.5,"4,598"
Kus uçusu,,None,"
Comedy            ",None,None,None
Al-massir,(1997),135 min,"
Comedy, Drama, History            ",None,7.2,"2,719"
One Piece: Adventure of Nebulandia,(2015 TV Movie),None,"
Animation, Action, Adventure            ",None,7.0,495
Shooting Clerks,(2019),105 min,"
Biography, Comedy, Drama            ",None,6.1,163
Born to Win,(1971),88 min,"
Comedy, Crime, Drama            ",None,5.6,"1,715"
Muhsin Bey,(1987),119 min,"
Comedy, Drama, Music            ",None,8.5,"10,567"
The Best of Mr. Peabody & Sherman,(1959– ),None,"
Animation, Comedy, Family            ",None,8.0,118
Unfaithfully Yours,(1948),105 min,"
Comedy, Music, Romance            ",None,7.6,"5,120"
Lego DC Comics Super Heroes: Justice League - Cosmic Clash,(2016 Video),78 min,"
Animation, Action, Adventure            ",None,6.4,"1,391"
The Town Christmas Forgot,(2010 TV Movie),84 min,"
Comedy, Family            ",None,5.8,747
Merry Ex-Mas,(2014),90 min,"
Comedy, Drama, Family            ",None,4.4,514
Leisure Suit Larry: Magna Cum Laude,(2004 Video Game),None,"
Adventure, Comedy, Romance            ",None,6.1,268
The Great Bank Robbery,(1969),98 min,"
Comedy, Western            ",None,5.6,623
Zak Storm,(2016– ),22 min,"
Animation, Action, Adventure            ",None,6.8,139
Jai Kanhaiya Lal Ki,(2018),22 min,"
Comedy, Drama            ",None,6.9,40
Calmos,(1976),97 min,"
Comedy            ",None,6.6,"1,088"
The Job,(2001–2002),30 min,"
Comedy, Crime            ",None,8.2,"1,906"
My Little Pony: Equestria Girls - Legend of Everfree,(2016),73 min,"
Animation, Comedy, Family            ",None,6.5,"1,277"
Maroon 5 feat. Cardi B: Girls Like You,(2018 Video),5 min,"
Short, Comedy, Music            ",None,6.8,707
Peter Pan,(1955 TV Movie),60 min,"
Adventure, Comedy, Family            ",None,8.3,172
Any Wednesday,(1966),109 min,"
Comedy            ",None,6.1,979
Dr. Caligari,(1989),80 min,"
Comedy, Horror, Sci-Fi            ",None,6.2,"1,119"
Trixie,(2000),116 min,"
Comedy, Crime, Mystery            ",R,5.0,"1,554"
Romeo Juliet,(2015),150 min,"
Comedy, Romance            ",None,5.7,"1,158"
Don't Drink the Water,(1994 TV Movie),92 min,"
Comedy            ",PG,6.2,"3,434"
An Actor Prepares,(2018),97 min,"
Comedy            ",None,5.2,658
Doraemon the Movie: Nobita's Little Star Wars 2021,(2022),101 min,"
Animation, Action, Adventure            ",None,None,None
AM Radio,(2021),87 min,"
Comedy, Drama, Romance            ",None,5.9,51
Geronimo Stilton,(2009–2017),26 min,"
Animation, Adventure, Comedy            ",None,6.8,262
American Grindhouse,(2010),80 min,"
Documentary, Action, Comedy            ",None,7.1,"2,382"
Picking Up the Pieces,(2000),95 min,"
Comedy, Crime, Fantasy            ",R,4.8,"3,738"
Otona no miru ehon - Umarete wa mita keredo,(1932),100 min,"
Comedy, Drama            ",None,8.0,"5,302"
Nature Calls,(2012),79 min,"
Comedy            ",R,4.0,"2,333"
The Ghost Train,(1941),85 min,"
Comedy, Horror            ",None,6.3,"1,461"
"Mon père, ce héros.",(1991),105 min,"
Comedy, Drama, Romance            ",None,6.1,"2,685"
Vuruldum bir kiza,(1968),81 min,"
Comedy, Romance            ",None,5.1,20
Mr. Bug Goes to Town,(1941),78 min,"
Animation, Comedy, Family            ",None,7.0,"1,218"
Mein Blind Date mit dem Leben,(2017),111 min,"
Biography, Comedy, Drama            ",None,7.1,"5,023"
Grim Fandango,(1998 Video Game),None,"
Animation, Adventure, Comedy            ",None,9.2,"3,409"
Manou the Swift,(2019),90 min,"
Animation, Adventure, Comedy            ",None,5.5,"1,002"
TiTi Do You Love Me,(2018),None,"
Comedy            ",None,8.1,22
A Belle for Christmas,(2014),91 min,"
Comedy, Drama, Family            ",PG,4.9,402
The Virgin of Highland Park,(2021),None,"
Comedy, Drama            ",None,None,None
Takin' It All Off,(1987),91 min,"
Comedy            ",None,5.0,290
Raja Babu,(1994),161 min,"
Action, Comedy, Drama            ",None,6.3,"2,768"
Chattanooga Choo Choo,(1984),102 min,"
Comedy            ",None,5.1,349
DJ Snake and Lil Jon: Turn Down for What,(2014 Video),4 min,"
Short, Comedy, Music            ",None,7.5,207
Good Neighbor Sam,(1964),130 min,"
Comedy            ",None,6.9,"2,488"
Xavier Riddle and the Secret Museum,(2019– ),25 min,"
Animation, Adventure, Comedy            ",None,8.2,96
Zigosani u reketu,(2018– ),45 min,"
Comedy, Drama, Romance            ",None,7.8,"1,200"
Underworld,(1996),95 min,"
Comedy, Thriller            ",R,4.8,749
Le caporal épinglé,(1962),90 min,"
Comedy, Drama, War            ",None,7.0,824
The Attic Expeditions,(2001),100 min,"
Comedy, Horror, Mystery            ",R,5.0,"1,786"
Hushaaru,(2018),140 min,"
Comedy            ",None,7.0,520
Only When I Laugh,(1981),120 min,"
Comedy, Drama            ",None,6.5,"1,409"
A-TEEN,(2018–2019),10 min,"
Comedy, Drama, Romance            ",None,7.7,141
Son of Dracula,(1973),90 min,"
Comedy, Fantasy, Horror            ",None,4.4,378
Impractical Jokers: Inside Jokes,(2016– ),30 min,"
Comedy, Reality-TV            ",None,8.6,"2,575"
Postriziny,(1981),93 min,"
Comedy            ",None,7.7,"2,334"
Unconditional Love,(2002),124 min,"
Comedy, Drama, Musical            ",PG-13,6.8,"3,915"
Inspector Gadget,(2015–2018),22 min,"
Animation, Action, Adventure            ",None,4.6,554
Kabaddi Kabaddi Kabaddi,(2019),115 min,"
Comedy, Drama, Romance            ",None,7.8,119
Shaggy & Scooby-Doo Get a Clue!,(2006–2008),None,"
Animation, Action, Adventure            ",None,4.6,876
Human Giant,(2007–2008),30 min,"
Comedy            ",None,8.1,"2,721"
Sigseusenseu,(2020– ),90 min,"
Comedy, Game-Show, Mystery            ",None,8.8,59
Olympic Dreams,(2019),85 min,"
Comedy, Romance, Sport            ",PG-13,5.8,631
All Yours,(2016 TV Movie),84 min,"
Comedy, Romance            ",None,5.9,837
Celal ile Ceren,(2013),114 min,"
Comedy, Romance            ",None,2.9,"42,100"
Karakomik Filmler: 2 Arada,(2019),60 min,"
Comedy, Drama            ",None,6.4,"11,383"
Maide'nin Altin Günü,(2017),105 min,"
Comedy            ",None,3.7,"2,049"
Naked Wishes,(2000),99 min,"
Comedy, Fantasy, Romance            ",R,5.0,475
Kureyon Shin-chan: Arashi wo yobu - Mouretsu! Otona teikoku no gyakushuu,(2001),90 min,"
Animation, Action, Adventure            ",None,7.7,741
Se busca papá,(2020),102 min,"
Comedy, Drama, Family            ",None,5.7,"1,004"
Puppet Master vs Demonic Toys,(2004 TV Movie),88 min,"
Comedy, Fantasy, Horror            ",None,4.0,"2,207"
Alpha and Omega: Family Vacation,(2015),45 min,"
Animation, Action, Adventure            ",None,4.8,253
Sexy Murder,(2016),7 min,"
Comedy            ",None,6.9,44
Mistress,(1992),110 min,"
Comedy, Drama            ",R,5.4,"2,209"
Fondeados,(2021),97 min,"
Comedy            ",None,4.1,273
Class of 3000,(2006–2008),30 min,"
Animation, Short, Adventure            ",None,6.6,"1,120"
Trollz,(2005–2006),23 min,"
Animation, Action, Adventure            ",None,5.2,395
Marvel Rising: Secret Warriors,(2018 TV Movie),80 min,"
Animation, Action, Comedy            ",None,5.3,"1,192"
Pasta,(2010– ),None,"
Comedy, Drama, Romance            ",None,7.7,776
Business Ethics,(2019),95 min,"
Comedy            ",None,4.4,175
Modo Avião,(2020),96 min,"
Comedy, Drama, Romance            ",None,5.0,"2,426"
Downtown,(1990),96 min,"
Action, Comedy, Crime            ",None,5.7,"1,943"
Superhuman Samurai Syber-Squad,(1994–1995),20 min,"
Animation, Family, Action            ",None,7.0,553
Not Another Not Another Movie,(2011),99 min,"
Comedy            ",None,2.6,"1,685"
Kissebaaz,(2019),122 min,"
Action, Comedy, Crime            ",None,4.7,239
Kunwara Baap,(1974),137 min,"
Comedy, Drama            ",None,7.1,393
Cotton Queen,(1937),80 min,"
Comedy            ",None,6.0,59
Mondaiji-tachi ga isekai kara kuru sô desu yo?,(2013),None,"
Animation, Action, Comedy            ",None,7.2,753
Six Hot Chicks in a Warehouse,(2017),93 min,"
Action, Comedy, Horror            ",None,4.0,771
Scooby-Doo! Adventures: The Mystery Map,(2013 Video),44 min,"
Short, Adventure, Comedy            ",None,5.2,350
Marley's Ghosts,(2015– ),40 min,"
Comedy, Fantasy            ",None,6.5,337
Charlie Bubbles,(1968),89 min,"
Comedy, Drama            ",None,6.4,702
Grizzly Tales for Gruesome Kids,(2000–2013),None,"
Animation, Comedy, Family            ",None,7.4,697
Born Again Virgin,(2015– ),30 min,"
Comedy            ",None,7.4,86
On the Right Track,(1981),97 min,"
Comedy, Romance            ",None,5.5,516
Hyakka Ryoran: Samurai Girls,(2010),24 min,"
Animation, Action, Comedy            ",None,6.5,362
The Happiest Days of Your Life,(1950),81 min,"
Comedy            ",None,7.3,"1,608"
Tanya X,(2010–2011),None,"
Comedy            ",None,6.1,61
Save Me,(2013),22 min,"
Comedy            ",None,6.2,"1,534"
The Secret Sauce,(2021 TV Movie),90 min,"
Comedy, Romance            ",None,None,None
Dante's Inferno,(2007),88 min,"
Animation, Comedy            ",None,6.6,"1,466"
School Rumble,(2004–2010),25 min,"
Animation, Comedy, Romance            ",None,7.8,"1,978"
Epic NPC Man,(2016– ),None,"
Comedy            ",None,9.4,422
The Richard Pryor Show,(1977– ),60 min,"
Comedy            ",None,7.5,392
Romantik Komedi,(2010),95 min,"
Comedy, Romance            ",None,5.3,"4,982"
Trideviyaan,(2016–2017),24 min,"
Action, Comedy            ",None,6.8,16
Válótársak,(2015– ),None,"
Comedy, Drama, Romance            ",None,7.7,"1,022"
Teefa in Trouble,(2018),155 min,"
Action, Comedy, Crime            ",None,7.2,"3,497"
Oh Baby...,(2019),161 min,"
Comedy, Drama, Fantasy            ",None,7.4,"2,199"
Alice et le maire,(2019),103 min,"
Comedy, Drama            ",None,6.3,"1,987"
Como una novia sin sexo,(2016),93 min,"
Comedy, Drama, Romance            ",None,6.0,481
Eoseowa,(2020– ),35 min,"
Comedy, Fantasy, Romance            ",None,7.1,321
Ten Canoes,(2006),90 min,"
Adventure, Comedy, Drama            ",None,7.0,"4,739"
The Hatching,(2016),90 min,"
Action, Adventure, Comedy            ",R,4.0,781
Saturday the 14th Strikes Back,(1988),78 min,"
Comedy, Fantasy, Horror            ",None,3.3,623
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",(1980),75 min,"
Animation, Adventure, Comedy            ",None,7.3,"3,053"
Just Add Water,(I) (2008),95 min,"
Comedy, Romance            ",R,5.6,"3,059"
Sweet Surrender,(2014 TV Movie),90 min,"
Comedy, Drama, Family            ",None,6.1,556
Le coup du parapluie,(1980),98 min,"
Adventure, Comedy, Crime            ",PG,6.7,"2,550"
Love on the Air,(2015 TV Movie),84 min,"
Comedy, Romance            ",None,6.9,"1,435"
"Love, Nina",(2016– ),28 min,"
Comedy, Drama            ",None,7.1,969
Kill La Kill If,(2019 Video Game),None,"
Animation, Action, Comedy            ",None,7.9,58
Love Me Tonight,(1932),104 min,"
Comedy, Musical, Romance            ",None,7.6,"3,917"
Yu-Gi-Oh!,(1998),None,"
Animation, Adventure, Comedy            ",None,7.9,"1,696"
Blue Collar Comedy Tour: The Movie,(2003),105 min,"
Comedy, Documentary            ",PG-13,7.1,"4,427"
Shine on Harvey Moon,(1982–1995),60 min,"
Comedy, Drama            ",None,7.3,164
Chickens,(2011–2013),None,"
Comedy            ",None,6.6,871
Willy/Milly,(1986),86 min,"
Comedy, Fantasy            ",None,5.6,506
Slaves of New York,(1989),124 min,"
Comedy, Drama            ",None,5.7,"1,001"
The Male Gaze: The Boy Is Mine,(2020),95 min,"
Comedy, Drama, Romance            ",None,3.5,62
Russell Coight's All Aussie Adventures,(2001–2018),22 min,"
Adventure, Comedy            ",None,8.1,"1,237"
Simón del desierto,(1965),43 min,"
Short, Comedy, Drama            ",None,7.9,"9,906"
Les vacances de l'amour,(1996–2007),52 min,"
Adventure, Comedy            ",None,4.8,103
Mohawk Girls,(2010–2017),22 min,"
Comedy            ",None,6.6,255
Space Punch,,None,"
Animation, Action, Comedy            ",None,None,None
Astrid Clover,(2014– ),None,"
Comedy            ",None,7.5,147
Oh! Juinnim,(2021),None,"
Comedy, Romance            ",None,6.1,175
Sankt Maik,(2018– ),None,"
Comedy            ",None,7.0,219
The Winning Season,(2009),119 min,"
Comedy, Sport            ",PG-13,6.6,"6,559"
The Paynes,(2018),30 min,"
Comedy            ",None,4.8,353
Gordy,(1994),90 min,"
Comedy, Drama, Family            ",None,3.8,"1,949"
Salaam-E-Ishq,(2007),216 min,"
Comedy, Drama, Musical            ",None,5.1,"5,379"
La mortadella,(1971),109 min,"
Comedy            ",None,5.6,441
Play,(I) (2019),108 min,"
Comedy, Romance            ",None,7.1,"1,415"
The Onion News Network,(2011),22 min,"
Comedy, News            ",None,8.1,756
Chobits,(2002–2003),None,"
Animation, Comedy, Drama            ",None,7.3,"4,296"
Zügürt Aga,(1986),101 min,"
Comedy, Drama            ",None,8.7,"14,762"
Good Enough,(I) (2016),80 min,"
Comedy, Drama, Romance            ",None,5.4,70
Yehi Hai Zindagi,(1977),133 min,"
Comedy, Drama            ",None,6.4,130
Aap wong 2,(2016),97 min,"
Comedy            ",None,4.2,279
Awara Paagal Deewana,(2002),158 min,"
Action, Comedy, Crime            ",None,6.2,"8,055"
Good Choices: Geico Horror Movie Commercial,(2014 Video),1 min,"
Short, Comedy, Horror            ",None,None,None
Stormester,(2018– ),60 min,"
Comedy            ",None,8.2,83
Golmaal 5,,None,"
Adventure, Comedy, Mystery            ",None,None,None
Panique au village,(2009),75 min,"
Animation, Adventure, Comedy            ",None,7.5,"7,978"
Dagmars Heta Trosor,(1971),91 min,"
Comedy, Romance            ",None,4.4,249
Hardly Working,(1980),91 min,"
Comedy            ",None,4.8,837
SpiderBabe,(2003 Video),89 min,"
Adventure, Comedy, Sci-Fi            ",R,4.3,874
Raja,(1995),168 min,"
Action, Comedy, Drama            ",None,5.3,782
The Bowery,(1933),92 min,"
Comedy, Drama, Music            ",None,6.8,489
Million Dollar Mystery,(1987),95 min,"
Comedy, Mystery            ",None,5.1,472
The Billionaire,(2020),116 min,"
Comedy, Drama, Romance            ",None,6.5,50
What Happened Was...,(1994),91 min,"
Comedy, Drama, Romance            ",None,7.2,"1,456"
Vampiry sredney polosy,(2021– ),50 min,"
Action, Comedy, Fantasy            ",None,7.6,923
Docteur?,(2019),90 min,"
Comedy            ",None,6.4,"1,513"
On Moonlight Bay,(1951),95 min,"
Comedy, Family, Musical            ",None,7.0,"2,591"
Cuphead,(2017 Video Game),None,"
Animation, Action, Adventure            ",None,8.6,"1,843"
The Cherokee Kid,(1996 TV Movie),91 min,"
Comedy, Western            ",PG-13,6.1,"1,479"
The Paul Lynde Show,(1972–1973),30 min,"
Comedy            ",None,6.8,196
Home for Christmas,(2014),102 min,"
Comedy, Romance            ",None,5.5,307
Labou,(2008),95 min,"
Adventure, Comedy, Family            ",G,4.9,249
Kermit's Swamp Years,(2002 TV Movie),82 min,"
Adventure, Comedy, Family            ",G,5.5,"1,446"
Chaos,(2001),109 min,"
Comedy, Drama, Crime            ",None,7.0,"2,310"
Hysterical,(1983),87 min,"
Comedy, Horror            ",None,5.6,820
Aani Kay Hava,(2019–2021),22 min,"
Comedy, Romance            ",None,9.0,312
Erosu gakuen: Kando batsugun,(1977),66 min,"
Comedy            ",None,4.9,121
West Is West,(2010),103 min,"
Comedy, Drama            ",None,6.4,"3,100"
The Duck Factory,(1984),30 min,"
Comedy            ",None,6.3,266
The Wildcats of St. Trinian's,(1980),91 min,"
Comedy            ",None,3.8,224
The Dick Van Dyke Show Revisited,(2004 TV Movie),60 min,"
Comedy            ",None,7.3,245
Black Pond,(2011),83 min,"
Comedy, Drama, Thriller            ",None,5.9,905
The Convenient Groom,(2016 TV Movie),84 min,"
Comedy, Drama, Romance            ",None,5.7,"1,331"
Yay Me! Starring London Tipton,(2007),None,"
Comedy, Family            ",None,6.5,99
Swing,(2017– ),None,"
Comedy            ",None,5.4,5
The Rats,(2018–2020),None,"
Comedy            ",None,7.6,66
Breakfast with Scot,(2007),90 min,"
Comedy, Drama, Music            ",PG-13,6.8,"3,100"
Wieners,(2008),89 min,"
Adventure, Comedy            ",R,4.3,"2,311"
Delhi Safari,(2012),96 min,"
Animation, Adventure, Comedy            ",PG,5.6,"1,721"
Some Girl(s),(2013),90 min,"
Comedy, Drama            ",None,4.6,"3,622"
The Adventures of Panda Warrior,(2012),78 min,"
Animation, Action, Adventure            ",None,1.7,224
New Eden,(2020– ),None,"
Comedy            ",None,7.5,108
Asterix in America,(1994),85 min,"
Animation, Adventure, Comedy            ",None,6.0,"7,397"
The Day My Butt Went Psycho!,(2013–2015),None,"
Animation, Action, Adventure            ",None,3.0,448
Chachi 420,(1997),155 min,"
Comedy, Drama, Family            ",None,7.4,"12,778"
The Aquabats! Super Show!,(2012–2018),None,"
Adventure, Comedy, Family            ",None,8.5,655
Naked Run,(2011),84 min,"
Comedy            ",None,5.3,92
The Open Road,(2009),91 min,"
Comedy, Drama            ",PG-13,5.5,"3,525"
